name,stargazers,primaryLanguage,issues
Python,{'totalCount': 70956},{'name': 'Python'},"{'totalCount': 287, 'nodes': [{'id': 'MDU6SXNzdWUxNjgyMDM1ODA='}, {'id': 'MDU6SXNzdWUxNjg4ODk3NzU='}, {'id': 'MDU6SXNzdWUxNjkwNTM4ODI='}, {'id': 'MDU6SXNzdWUxNjkxMTg1NTk='}, {'id': 'MDU6SXNzdWUxNjk0MDY1MTQ='}, {'id': 'MDU6SXNzdWUxODMzNDM1ODM='}, {'id': 'MDU6SXNzdWUxODYxNDIyOTA='}, {'id': 'MDU6SXNzdWUxODk3MzU5NDg='}, {'id': 'MDU6SXNzdWUyMTI4NzMxMjk='}, {'id': 'MDU6SXNzdWUyMjE5MTU5NDQ='}]}"
build-your-own-x,{'totalCount': 70187},,"{'totalCount': 314, 'nodes': [{'id': 'MDU6SXNzdWUzMjE4MjM5OTk='}, {'id': 'MDU6SXNzdWUzMjE4MjgzNTY='}, {'id': 'MDU6SXNzdWUzMjE4Mjk3NzY='}, {'id': 'MDU6SXNzdWUzMjIwMDExNjY='}, {'id': 'MDU6SXNzdWUzMjIxNzY4ODY='}, {'id': 'MDU6SXNzdWUzMjIzMDQ5MTE='}, {'id': 'MDU6SXNzdWUzMjIzMDUyMTY='}, {'id': 'MDU6SXNzdWUzMjIzMDU3MDM='}, {'id': 'MDU6SXNzdWUzMjI0MTI0OTI='}, {'id': 'MDU6SXNzdWUzMjI1MDQ0Mjk='}]}"
node,{'totalCount': 69749},{'name': 'JavaScript'},"{'totalCount': 11561, 'nodes': [{'id': 'MDU6SXNzdWU1MDM0MDAyMA=='}, {'id': 'MDU6SXNzdWU1MDM0MzE4Mw=='}, {'id': 'MDU6SXNzdWU1MDM0MzMzOQ=='}, {'id': 'MDU6SXNzdWU1MDM2MDEzNQ=='}, {'id': 'MDU6SXNzdWU1MDQwMzQ0NA=='}, {'id': 'MDU6SXNzdWU1MDQxNDk1OQ=='}, {'id': 'MDU6SXNzdWU1MDQxNTI4NA=='}, {'id': 'MDU6SXNzdWU1MDQyMjEzNA=='}, {'id': 'MDU6SXNzdWU1MDQ0MzM1MA=='}, {'id': 'MDU6SXNzdWU1MDQ0NjQ4Mg=='}]}"
javascript-algorithms,{'totalCount': 69565},{'name': 'JavaScript'},"{'totalCount': 134, 'nodes': [{'id': 'MDU6SXNzdWUzMjU1NDgwMDE='}, {'id': 'MDU6SXNzdWUzMjU4OTAwMDg='}, {'id': 'MDU6SXNzdWUzMjU4OTYwMTM='}, {'id': 'MDU6SXNzdWUzMjYwMTQxNTk='}, {'id': 'MDU6SXNzdWUzMjYwMjkxNTk='}, {'id': 'MDU6SXNzdWUzMjYzOTA2NTk='}, {'id': 'MDU6SXNzdWUzMjY1OTc5NDI='}, {'id': 'MDU6SXNzdWUzMjY2MTc5ODc='}, {'id': 'MDU6SXNzdWUzMjY3NDMyODg='}, {'id': 'MDU6SXNzdWUzMjcxNzgzODI='}]}"
animate.css,{'totalCount': 66497},{'name': 'CSS'},"{'totalCount': 702, 'nodes': [{'id': 'MDU6SXNzdWUxODk4NTY5'}, {'id': 'MDU6SXNzdWUxODk4NTgw'}, {'id': 'MDU6SXNzdWUxODk4NjE2'}, {'id': 'MDU6SXNzdWUxOTAwMDQ3'}, {'id': 'MDU6SXNzdWUxOTAwMDYw'}, {'id': 'MDU6SXNzdWUxOTAwMjQ3'}, {'id': 'MDU6SXNzdWUxOTAxMjk2'}, {'id': 'MDU6SXNzdWUxOTMxMDE1'}, {'id': 'MDU6SXNzdWUxOTQxMTEw'}, {'id': 'MDU6SXNzdWUyMDA2NTUy'}]}"
free-programming-books-zh_CN,{'totalCount': 66160},,"{'totalCount': 0, 'nodes': []}"
kubernetes,{'totalCount': 65797},{'name': 'Go'},"{'totalCount': 34607, 'nodes': [{'id': 'MDU6SXNzdWUzNTE5MjU1OQ=='}, {'id': 'MDU6SXNzdWUzNTE5MjYwMg=='}, {'id': 'MDU6SXNzdWUzNTE5MjYzNw=='}, {'id': 'MDU6SXNzdWUzNTE5MjY5Ng=='}, {'id': 'MDU6SXNzdWUzNTE5MjcyNA=='}, {'id': 'MDU6SXNzdWUzNTE5Mjc1MQ=='}, {'id': 'MDU6SXNzdWUzNTE5OTY2OQ=='}, {'id': 'MDU6SXNzdWUzNTE5OTY4MA=='}, {'id': 'MDU6SXNzdWUzNTIwOTg5NA=='}, {'id': 'MDU6SXNzdWUzNTIyODkyMg=='}]}"
youtube-dl,{'totalCount': 65756},{'name': 'Python'},"{'totalCount': 20190, 'nodes': [{'id': 'MDU6SXNzdWUzOTMwNDE='}, {'id': 'MDU6SXNzdWUzOTMwNDM='}, {'id': 'MDU6SXNzdWUzOTMwNTA='}, {'id': 'MDU6SXNzdWUzOTMwNTU='}, {'id': 'MDU6SXNzdWUzOTMwNTk='}, {'id': 'MDU6SXNzdWUzOTMwNjE='}, {'id': 'MDU6SXNzdWUzOTMwNjM='}, {'id': 'MDU6SXNzdWUzOTMwNjU='}, {'id': 'MDU6SXNzdWUzOTMwNjY='}, {'id': 'MDU6SXNzdWUzOTMwNzU='}]}"
models,{'totalCount': 63534},{'name': 'Python'},"{'totalCount': 5277, 'nodes': [{'id': 'MDU6SXNzdWUxMzk4NjU5MTk='}, {'id': 'MDU6SXNzdWUxMzk4NzIwOTM='}, {'id': 'MDU6SXNzdWUxNDAwNjk3Mjc='}, {'id': 'MDU6SXNzdWUxNDA0NzI1MDY='}, {'id': 'MDU6SXNzdWUxNDA1MzEyOTg='}, {'id': 'MDU6SXNzdWUxNDEwOTM5NjM='}, {'id': 'MDU6SXNzdWUxNDE0NDA2NzQ='}, {'id': 'MDU6SXNzdWUxNDE0OTcwMjA='}, {'id': 'MDU6SXNzdWUxNDE5NTQ2MzQ='}, {'id': 'MDU6SXNzdWUxNDIwMjUyNjM='}]}"
Font-Awesome,{'totalCount': 62754},{'name': 'JavaScript'},"{'totalCount': 15919, 'nodes': [{'id': 'MDU6SXNzdWUzNTI3OTA2'}, {'id': 'MDU6SXNzdWUzNTM1Mzkx'}, {'id': 'MDU6SXNzdWUzNTM1NTc4'}, {'id': 'MDU6SXNzdWUzNTM2ODgz'}, {'id': 'MDU6SXNzdWUzNTM3MDMx'}, {'id': 'MDU6SXNzdWUzNTM3Njk3'}, {'id': 'MDU6SXNzdWUzNTM3NzY3'}, {'id': 'MDU6SXNzdWUzNTM3Nzky'}, {'id': 'MDU6SXNzdWUzNTM3Nzk2'}, {'id': 'MDU6SXNzdWUzNTM3OTUz'}]}"
